Date,Open,High,Low,Close,Adj Close,Volume
2022-09-09,26.042292,27.856609,26.023787,27.256235,27.256235,95697728
2022-09-10,27.253738,27.834185,27.080069,27.722191,27.722191,69791179
2022-09-11,27.719307,27.917341,27.331345,27.852411,27.852411,74979698
2022-09-12,27.856022,28.516258,27.522141,28.443462,28.443462,143000183
2022-09-13,28.445051,29.161680,25.788601,25.993399,25.993399,173032885
2022-09-14,25.896563,26.190844,24.944427,25.502901,25.502901,94121773
2022-09-15,25.505104,25.595896,23.995062,24.067293,24.067293,121904827
2022-09-16,24.066963,24.372864,23.633429,24.062054,24.062054,55401852
2022-09-17,24.066965,24.665981,24.049723,24.643286,24.643286,36208292
2022-09-18,24.643648,24.643648,23.406750,23.443457,23.443457,56817692
2022-09-19,23.444010,24.364748,22.499840,24.209572,24.209572,108816091
2022-09-20,24.212006,24.286905,23.291817,23.347155,23.347155,69945344
2022-09-21,23.347425,24.197611,22.433998,22.804857,22.804857,85647341
2022-09-22,22.788654,23.773670,22.661470,23.723742,23.723742,64652932
2022-09-23,23.724012,24.001179,22.949053,23.886009,23.886009,75668382
2022-09-24,23.886889,24.085571,23.611359,23.686422,23.686422,44387525
2022-09-25,23.685465,23.946802,23.312210,23.525658,23.525658,37223903
2022-09-26,23.527637,24.209461,23.264851,24.208420,24.208420,84494360
2022-09-27,24.207712,25.084642,23.398560,23.686216,23.686216,104014641
2022-09-28,23.682234,24.294165,22.887621,24.084251,24.084251,80457805
2022-09-29,24.087057,24.319620,23.563931,24.319620,24.319620,73869231
2022-09-30,24.318897,24.935438,23.991167,24.240286,24.240286,78199832
2022-10-01,24.235086,24.439743,23.998938,24.283325,24.283325,47612081
2022-10-02,24.284882,24.357561,23.961456,24.032326,24.032326,37256558
2022-10-03,24.032587,24.816563,23.907284,24.763277,24.763277,80640104
2022-10-04,24.762039,25.248720,24.623304,25.117477,25.117477,67348735
2022-10-05,25.117712,25.140430,24.447199,24.777027,24.777027,45601574
2022-10-06,24.778446,25.134787,24.387794,24.493849,24.493849,52179925
2022-10-07,24.497053,25.618219,24.298714,24.503281,24.503281,125620661
2022-10-08,24.496504,24.580696,23.986071,24.131760,24.131760,31052653
2022-10-09,24.130581,24.240881,23.971968,24.122280,24.122280,26424373
2022-10-10,24.126032,24.260597,23.570938,23.570938,23.570938,57700617
2022-10-11,23.568756,23.586740,23.158028,23.245829,23.245829,71585206
2022-10-12,23.246574,23.440910,23.226938,23.362375,23.362375,33931169
2022-10-13,23.361958,23.557444,22.173998,23.438650,23.438650,76588698
2022-10-14,23.439629,24.132507,23.361422,23.458130,23.458130,52571806
2022-10-15,23.457005,23.558296,23.171667,23.270861,23.270861,30518787
2022-10-16,23.271404,23.904583,23.270798,23.732145,23.732145,31592267
2022-10-17,23.732504,24.265251,23.308762,24.126242,24.126242,90403514
2022-10-18,24.128038,24.196770,23.340935,23.586105,23.586105,57930720
2022-10-19,23.587973,23.625917,22.579653,22.595692,22.595692,73846179
2022-10-20,22.593586,22.779358,22.290531,22.411674,22.411674,45835848
2022-10-21,22.410303,22.560492,21.992990,22.447943,22.447943,40606993
2022-10-22,22.447201,22.645134,22.359665,22.580324,22.580324,26694195
2022-10-23,22.580208,23.184872,22.421822,23.147572,23.147572,34691703
2022-10-24,23.146570,23.206808,22.602921,22.792561,22.792561,35298132
2022-10-25,22.792061,24.361235,22.698299,23.876184,23.876184,72899174
2022-10-26,23.873055,24.911854,23.844358,24.648176,24.648176,77828549
2022-10-27,24.649569,24.940645,24.206421,24.269791,24.269791,67478045
2022-10-28,24.277353,24.985300,24.021160,24.788830,24.788830,52996494
2022-10-29,24.785749,25.738939,24.722895,25.432451,25.432451,58563255
2022-10-30,25.431646,25.992064,25.306437,25.647551,25.647551,52222119
2022-10-31,25.642658,26.467794,25.398201,26.109430,26.109430,102509275
2022-11-01,26.105999,26.402122,25.630119,25.873478,25.873478,61710158
2022-11-02,25.871834,26.223301,24.941578,25.031612,25.031612,73778707
2022-11-03,25.031796,25.329279,24.298162,24.358315,24.358315,96038029
2022-11-04,24.359118,25.795807,24.153746,25.472492,25.472492,117760400
2022-11-05,25.473270,25.808643,23.959665,24.059296,24.059296,108438472
2022-11-06,24.061668,24.828756,21.734623,22.269251,22.269251,599958722
2022-11-07,22.263741,23.151037,21.923954,22.142197,22.142197,721168869
2022-11-08,22.137789,22.137789,3.146795,5.518904,5.518904,3346184382
2022-11-09,5.522477,6.246743,2.056713,2.300628,2.300628,1320745564
2022-11-10,2.286410,4.202124,2.142760,3.516938,3.516938,989320627
2022-11-11,3.515314,3.676701,2.474017,2.590422,2.590422,617326125
2022-11-12,2.592339,2.609819,1.900632,2.088901,2.088901,361372007
2022-11-13,2.090581,2.172526,1.458536,1.489264,1.489264,297515448
2022-11-14,1.490110,1.739288,1.251136,1.474764,1.474764,171762575
2022-11-15,1.474274,1.991792,1.407320,1.835913,1.835913,121203926
2022-11-16,1.834626,1.842353,1.537698,1.623175,1.623175,47902037
2022-11-17,1.625284,1.681589,1.529197,1.561679,1.561679,62805548
2022-11-18,1.561696,1.595578,1.426239,1.457186,1.457186,55810709
2022-11-19,1.456896,1.513414,1.392684,1.416962,1.416962,52442596
